session_id,date,prompt_count,total_word_count,median_word_count,category_distribution,total_tokens_in,total_tokens_out,total_cache_read,total_cache_create,total_cost_usd,total_tool_calls,total_agents_spawned,agent_types_used,model,platform
347a21b8c442,2026-01-22,39,7653,28,"{""rendering"":10,""ecs"":6,""other"":5,""system"":5,""debugging"":4,""ui"":3,""networking"":2,""tooling"":1,""artwork"":1,""devtools"":1,""dungeon"":1}",102,1873,1243553,1134792,7.28,6,4,"code-reviewer-game-dev,coordinate-wizard,ui-and-ux-agent",claude-opus-4-5-20251101,mac
bb00dc8f70e1,2026-01-22,23,6346,92,"{""ui"":11,""artwork"":3,""networking"":2,""rendering"":2,""ecs"":1,""physics"":1,""hero"":1,""other"":1,""debugging"":1}",57,159,376964,571066,3.01,0,0,,claude-opus-4-5-20251101,mac
5b59d5ac400a,2026-01-22,91,28710,22,"{""combat"":21,""other"":16,""networking"":15,""ecs"":11,""system"":10,""tooling"":4,""confirmation"":3,""devtools"":3,""debugging"":3,""planning"":2,""ui"":1,""build"":1,""physics"":1}",123,8061,3972767,2113772,9.13,6,4,"ability-designer,code-reviewer-game-dev,network-protocol-designer",claude-sonnet-4-5-20250929,mac
67914c185846,2026-01-22,33,1339,15,"{""other"":15,""ui"":6,""ecs"":3,""game_design"":2,""networking"":2,""artwork"":2,""rendering"":1,""combat"":1,""ai"":1}",89,16871,1351558,378952,2.99,3,1,game-design-brainstorm,claude-opus-4-5-20251101,mac
0fcd6b62b785,2026-01-22,12,4128,118,"{""content"":2,""ecs"":2,""tooling"":2,""dungeon"":1,""ui"":1,""networking"":1,""combat"":1,""system"":1,""other"":1}",26,473,382042,183380,0.75,1,0,,claude-sonnet-4-5-20250929,mac
12e053239cf4,2026-01-22,2,37,18,"{""system"":1,""other"":1}",0,0,0,0,0.0,0,0,,,mac
a93aa840c6d8,2026-01-22,3,37,3,"{""system"":2,""networking"":1}",0,0,0,0,0.0,0,0,,,mac
fc41838b4b65,2026-01-22,19,4505,203,"{""combat"":3,""physics"":3,""networking"":3,""other"":2,""system"":2,""ecs"":2,""rendering"":1,""ai"":1,""game_design"":1,""build"":1}",40,25,302303,488511,1.91,0,0,,claude-sonnet-4-5-20250929,mac
ddb9069c5d30,2026-01-23,5,1447,94,"{""physics"":1,""ecs"":1,""networking"":1,""system"":1,""ui"":1}",12,8,220097,108425,0.79,0,0,,claude-opus-4-5-20251101,mac
80e8b4adaf5c,2026-01-23,5,227,11,"{""other"":2,""ecs"":1,""tooling"":1,""system"":1}",12,164,68525,113137,0.75,4,0,,claude-opus-4-5-20251101,mac
3303ea296a65,2026-01-23,9,755,81,"{""ai"":2,""other"":2,""audio"":1,""ui"":1,""planning"":1,""rendering"":1,""system"":1}",24,23,152887,139740,0.58,0,0,,claude-opus-4-5-20251101,mac
f84c41316907,2026-01-23,11,1944,24,"{""audio"":3,""combat"":2,""system"":2,""ui"":1,""tooling"":1,""other"":1,""ai"":1}",27,652,480689,132597,0.87,2,0,,claude-opus-4-5-20251101,mac
b142256a876f,2026-01-24,32,9631,94,"{""ui"":13,""other"":5,""ecs"":4,""networking"":3,""tooling"":2,""content"":1,""planning"":1,""debugging"":1,""system"":1,""refactor"":1}",90,1370,797263,1017159,5.87,1,1,code-reviewer-game-dev,claude-opus-4-5-20251101,mac
1374d3ec0ca0,2026-01-24,3,61,19,"{""ui"":1,""ai"":1,""rendering"":1}",9,4,68575,32598,0.24,0,0,,claude-opus-4-5-20251101,mac
0ce3a85a72fd,2026-01-24,2,87,43,"{""rendering"":1,""system"":1}",3,1,22909,11694,0.05,0,0,,claude-sonnet-4-5-20250929,mac
1251ac937903,2026-01-24,53,12571,27,"{""combat"":11,""networking"":10,""gamestate"":7,""system"":5,""ai"":5,""tooling"":5,""confirmation"":3,""ecs"":2,""planning"":1,""artwork"":1,""other"":1,""content"":1,""devtools"":1}",135,2739,2383392,1829891,11.63,7,5,"ability-designer,code-reviewer-game-dev,network-protocol-designer",claude-opus-4-5-20251101,mac
e3882ef10b08,2026-01-25,26,5284,55,"{""networking"":7,""ecs"":5,""ui"":5,""other"":2,""combat"":1,""tooling"":1,""content"":1,""artwork"":1,""ai"":1,""refactor"":1,""system"":1}",75,1997,809328,773105,4.91,7,5,"Explore,code-reviewer-game-dev,ecs-component-designer,network-protocol-designer,systems-designer",claude-opus-4-5-20251101,mac
4c60bbebe9ce,2026-01-25,26,5945,58,"{""combat"":8,""ai"":3,""other"":3,""system"":2,""debugging"":2,""tooling"":2,""content"":1,""ecs"":1,""game_design"":1,""networking"":1,""rendering"":1,""gamestate"":1}",75,1195,1215541,377811,2.23,4,1,code-reviewer-game-dev,claude-opus-4-5-20251101,mac
e579be01e594,2026-01-25,5,65,10,"{""other"":3,""save"":1,""dungeon"":1}",15,99,303234,132389,0.98,1,0,,claude-opus-4-5-20251101,mac
87f791723a5b,2026-01-25,1,29,29,"{""save"":1}",3,3,17709,14632,0.1,0,0,,claude-opus-4-5-20251101,mac
adbc470288df,2026-01-26,7,4052,7,"{""confirmation"":2,""documentation"":2,""rendering"":1,""system"":1,""build"":1}",18,3664,325714,51390,0.58,3,0,,claude-opus-4-5-20251101,mac
3a8766c8ce03,2026-01-26,7,146,15,"{""other"":4,""ui"":2,""ecs"":1}",21,11113,149252,117046,1.08,0,0,,claude-opus-4-5-20251101,mac
2e7effc3e68b,2026-01-26,4,24,5,"{""devtools"":2,""build"":1,""confirmation"":1}",19,282,65387,67710,0.46,1,0,,claude-opus-4-5-20251101,mac
1a0c3c4f1bd1,2026-01-26,1,11,11,"{""gamestate"":1}",10,1,0,33670,0.21,0,0,,claude-opus-4-5-20251101,mac
6897e32ec7fb,2026-01-26,6,72,12,"{""build"":2,""other"":2,""debugging"":1,""tooling"":1}",18,217,239592,34108,0.34,3,0,,claude-opus-4-5-20251101,windows
fb4404fe5d4b,2026-01-26,51,11258,86,"{""networking"":16,""ecs"":7,""debugging"":4,""physics"":3,""planning"":3,""combat"":2,""content"":2,""dungeon"":2,""system"":2,""tooling"":2,""ai"":1,""game_design"":1,""other"":1,""confirmation"":1,""build"":1,""audio"":1,""rendering"":1,""artwork"":1}",148,105,1501680,1374237,7.69,7,4,"code-reviewer-game-dev,network-protocol-designer",claude-opus-4-5-20251101,mac
5325cdc9f1b3,2026-01-26,38,10792,106,"{""networking"":13,""content"":8,""ecs"":4,""combat"":3,""tooling"":2,""planning"":2,""system"":2,""ui"":1,""documentation"":1,""other"":1,""debugging"":1}",116,68,831372,991329,5.53,0,0,,claude-opus-4-5-20251101,mac
dd07169766dd,2026-01-26,21,3172,23,"{""rendering"":8,""system"":4,""planning"":2,""other"":2,""ecs"":1,""tooling"":1,""artwork"":1,""confirmation"":1,""debugging"":1}",42,31,359820,380740,2.14,1,0,,claude-opus-4-5-20251101,mac
32d3997a4ac4,2026-01-26,13,3055,161,"{""ecs"":4,""combat"":2,""game_design"":2,""rendering"":2,""networking"":1,""ai"":1,""other"":1}",39,36,316908,233285,1.25,1,1,code-reviewer-game-dev,claude-opus-4-5-20251101,mac
